"species_group_label";"prediction";"error";"grouping"
"FI";43,4629284667027;0,536743142764836;"conifer"
"TA";7,86415232656841;0,262752386955493;"conifer"
"DGL";2,26216297553824;0,129393158401086;"conifer"
"KIE";8,06265606914114;0,281028879558596;"conifer"
"LAE";1,98345551354271;0,0957647501950789;"conifer"
"sNB";0,258119453661548;0,0400083812731542;"conifer"
"BU";18,6633590554827;0,389178612482042;"deciduous"
"EI";6,44221004707153;0,226936220859848;"deciduous"
"REI";0,35059803997222;0,0488116148358875;"deciduous"
"ES";3,10977158731384;0,137538118708037;"deciduous"
"BA";1,97088355582993;0,097771346923237;"deciduous"
"HB";0,869602592792654;0,0594793138895747;"deciduous"
"sALH";1,42365460297862;0,0904682635067747;"deciduous"
"BI";0,718482907631762;0,055752264926238;"deciduous"
"ER";0,830511613550428;0,0736516611206084;"deciduous"
"PA";0,835781310286287;0,0868833933034175;"deciduous"
"sALN";0,891669881935334;0,0604548633623663;"deciduous"
